dataname,auditor_idx,vulnerability,function_name
2018-13670,0,Integer Overflow,mintToken
2018-13670,0,Integer Overflow,transfer
2018-13670,1,Lack of Access Control,Owned
2018-13670,2,Potential security vulnerability,Owned
2018-13670,2,Potential security vulnerability,GFCB
2018-13670,2,Potential security vulnerability,transferOwnership
2018-13670,2,Potential security vulnerability,mintToken
2018-13670,2,Potential security vulnerability,freezeAccount
2018-13670,2,Potential security vulnerability,setPrices
2018-13670,2,Potential security vulnerability,buy
2018-13670,2,Potential security vulnerability,sell
