dataname,vulnerability,function_name
2018-13113,Reentrancy,transfer
2018-13113,Reentrancy,transferFrom
2018-13113,Unchecked Call Return,approveAndCall
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
2018-13113,Unchecked Call Return,
