dataname,auditor_idx,vulnerability,function_name
2020-17752,0,Integer Overflow,GetMaxStageEthAmount
2020-17752,0,Integer Overflow,GetStats
2020-17752,1,Integer Overflow,MON
2020-17752,1,Integer Overflow,GetMaxStageEthAmount
2020-17752,1,Integer Overflow,mintCoins
2020-17752,1,Bad Randomness,GetNow
2020-17752,1,Access Control,mint
2020-17752,3,Token Devalue,mint
2020-17752,3,Token Devalue,mintCoins
2020-17752,3,Wrong Logic,MON
2020-17752,3,Bad Randomness,GetNow
2020-17752,3,Access Control,mint
2020-17752,4,Integer Overflow,GetNow
2020-17752,4,Integer Overflow,GetMaxStageEthAmount
2020-17752,4,Integer Overflow,GetStats
2020-17752,2,Integer Overflow,mint
2020-17752,2,Integer Overflow,mintCoins
2020-17752,2,Integer Overflow,burn
2020-17752,2,Integer Overflow,GetStats
2020-17752,2,Integer Overflow,GetNow
