dataname,auditor_idx,vulnerability,function_name
2018-12025,1,Integer Overflow,mintToken
2018-12025,2,Bad Randomness,transfer
2018-12025,1,Integer Overflow,transferFrom
2018-12025,1,Integer Overflow,approve
2018-12025,2,Access Control,freezeAccount
2018-12025,2,Access Control,changeName
2018-12025,2,Access Control,changeSymbol
2018-12025,2,Access Control,changeDecimals
2018-12025,1,Integer Overflow,withdrawForeign
2018-12025,1,Integer Overflow,airdrop
2018-12025,1,Integer Overflow,distributeTokens
