dataname,auditor_idx,vulnerability,function_name
2018-12703,0,Integer Overflow,transfer
2018-12703,0,Integer Overflow,transferFrom
2018-12703,0,Wrong Logic,approveAndCall
2018-12703,0,Wrong Logic,approveAndCallcode
2018-12703,1,Integer Overflow,transfer
2018-12703,1,Integer Overflow,transferFrom
2018-12703,1,Unrestricted Allowance,approve
2018-12703,1,Unrestricted External Call,approveAndCall
2018-12703,1,Unrestricted External Call,approveAndCallcode
2018-12703,2,Integer Overflow,transfer
2018-12703,2,Integer Overflow,transferFrom
2018-12703,2,Wrong Logic,transfer
2018-12703,2,Wrong Logic,transferFrom
2018-12703,2,Bad Randomness,transfer
2018-12703,2,Bad Randomness,transferFrom
2018-12703,2,Access Control,transfer
2018-12703,2,Access Control,transferFrom
2018-12703,2,Typo Constructor,EighteenToken
2018-12703,2,Token Devalue,approveAndCall
2018-12703,2,Token Devalue,approveAndCallcode
