dataname,auditor_idx,vulnerability,function_name
2021-34273,0,Bad Randomness,MorphToken
2021-34273,0,Bad Randomness,PayWinner
2021-34273,0,Access Control,KingOfEther
2021-34273,0,Wrong Logic,transferFrom
2021-34273,0,Wrong Logic,distribute
2021-34273,0,Integer Overflow,balanceOf
2021-34273,0,Integer Overflow,transfer
2021-34273,0,Integer Overflow,distributeToken
2021-34273,0,Integer Overflow,mintToken
2021-34273,0,Integer Overflow,claimThrone
2021-34273,0,Access Control,transferOwnership
2021-34273,0,Access Control,mintToken
2021-34273,0,Access Control,transferFrom
2021-34273,0,Access Control,distributeToken
2021-34273,0,Bad Randomness,mintToken
2021-34273,0,Bad Randomness,claimThrone
2021-34273,0,Access Control,transferOwnership
2021-34273,0,Integer Overflow,mintToken
2021-34273,0,Integer Overflow,transferFrom
2021-34273,0,Integer Overflow,distributeToken
2021-34273,0,Access Control,mintToken
2021-34273,0,Access Control,transferFrom
2021-34273,0,Access Control,distributeToken
