dataname,auditor_idx,vulnerability,function_name
2018-12959,0,Integer Overflow,totalSupply
2018-12959,0,Integer Overflow,balanceOf
2018-12959,0,Integer Overflow,transfer
2018-12959,0,Integer Overflow,transferFrom
2018-12959,0,Integer Overflow,approve
2018-12959,0,Integer Overflow,allowance
2018-12959,0,Wrong Logic,totalSupply
2018-12959,0,Wrong Logic,balanceOf
2018-12959,0,Wrong Logic,transfer
2018-12959,0,Wrong Logic,transferFrom
2018-12959,0,Wrong Logic,approve
2018-12959,0,Wrong Logic,allowance
2018-12959,0,Bad Randomness,totalSupply
2018-12959,0,Bad Randomness,balanceOf
2018-12959,0,Bad Randomness,transfer
2018-12959,0,Bad Randomness,transferFrom
2018-12959,0,Bad Randomness,approve
2018-12959,0,Bad Randomness,allowance
2018-12959,0,Access Control,totalSupply
2018-12959,0,Access Control,balanceOf
2018-12959,0,Access Control,transfer
2018-12959,0,Access Control,transferFrom
2018-12959,0,Access Control,approve
2018-12959,0,Access Control,allowance
2018-12959,0,Typo Constructor,totalSupply
2018-12959,0,Typo Constructor,balanceOf
2018-12959,0,Typo Constructor,transfer
2018-12959,0,Typo Constructor,transferFrom
2018-12959,0,Typo Constructor,approve
2018-12959,0,Typo Constructor,allowance
