dataname,auditor_idx,vulnerability,function_name
2018-12079,0,Integer Overflow,mintToken
2018-12079,1,Reentrancy,transfer
2018-12079,1,Reentrancy,transferFrom
2018-12079,1,Integer Overflow,buy
2018-12079,1,Integer Underflow,sell
2018-12079,2,Unprotected transfer function allowing unauthorized access,transfer
2018-12079,2,Unprotected transferFrom function allowing unauthorized access,transferFrom
2018-12079,2,Minting tokens without any restrictions,mintToken
2018-12079,2,No mechanism to unfreeze accounts,freezeAccount
2018-12079,2,Price manipulation through setPrices,setPrices
2018-12079,2,Exploitable buy function due to fixed price,buy
2018-12079,2,Exploitable sell function due to fixed price,sell
