dataname,auditor_idx,vulnerability,function_name
2018-14087,1,The contract does not have a function to transfer tokens between accounts.,TokenERC20
2018-14087,2,The contract does not have a function to burn tokens.,TokenERC20
2018-14087,3,The contract does not have a function to approve tokens for transfer.,TokenERC20
2018-14087,4,The contract does not have a function to transfer tokens from one account to another.,TokenERC20
2018-14087,5,The contract does not have a function to burn tokens from an account.,TokenERC20
2018-14087,6,The contract does not have a function to approve tokens for transfer from one account to another.,TokenERC20
2018-14087,7,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,8,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,9,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,10,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,11,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,12,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,13,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,14,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,15,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,16,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,17,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,18,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,19,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,20,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,21,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,22,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,23,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,24,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,25,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,26,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,27,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,28,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,29,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,30,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,31,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,32,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,33,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,34,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,35,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
2018-14087,36,The contract does not have a function to transfer tokens from an account to another.,TokenERC20
