dataname,auditor_idx,vulnerability,function_name
2018-12068,0,Integer Overflow,mintToken
2018-12068,0,Integer Overflow,transfer
2018-12068,0,Integer Overflow,transferFrom
2018-12068,0,Integer Overflow,buy
2018-12068,0,Integer Overflow,sell
2018-12068,1,Integer Overflow,functionName
2018-12068,1,Wrong Logic,functionName
2018-12068,1,Bad Randomness,functionName
2018-12068,1,Access Control,functionName
2018-12068,1,Typo Constructor,functionName
2018-12068,2,Integer Overflow,mintToken
2018-12068,2,Integer Overflow,sell
2018-12068,2,Wrong Logic,mintToken
2018-12068,2,Wrong Logic,sell
2018-12068,2,Access Control,mintToken
2018-12068,2,Access Control,sell
2018-12068,2,Typos Constructor,mintToken
2018-12068,2,Typos Constructor,sell
