dataname,auditor_idx,vulnerability,function_name
2018-13782,0,Integer Overflow,mintToken
2018-13782,0,Access Control,freezeAccount
2018-13782,0,Access Control,setPrices
2018-13782,0,Integer Overflow,buy
2018-13782,0,Integer Overflow,sell
2018-13782,0,Access Control,transferFrom
2018-13782,0,Access Control,setBalance
2018-13782,0,Bad Randomness,mintToken
2018-13782,0,Access Control,freezeAccount
2018-13782,0,Access Control,setPrices
2018-13782,0,Integer Overflow,buy
2018-13782,0,Integer Overflow,sell
2018-13782,0,Access Control,transferFrom
2018-13782,0,Access Control,setBalance
