dataname,auditor_idx,vulnerability,function_name
2018-13041,0,Integer Overflow,mint
2018-13041,0,Wrong Logic,transfer
2018-13041,0,Wrong Logic,transferFrom
2018-13041,0,Wrong Logic,approve
2018-13041,0,Bad Randomness,transfer
2018-13041,0,Bad Randomness,transferFrom
2018-13041,0,Bad Randomness,approve
2018-13041,0,Access Control,transfer
2018-13041,0,Access Control,transferFrom
2018-13041,0,Access Control,approve
2018-13041,0,Typo Constructor,transfer
2018-13041,0,Typo Constructor,transferFrom
2018-13041,0,Typo Constructor,approve
