dataname,auditor_idx,vulnerability,function_name
2018-13722,0,Integer Overflow,safeMul
2018-13722,0,Integer Overflow,safeDiv
2018-13722,0,Integer Overflow,safeSub
2018-13722,0,Integer Overflow,safeAdd
2018-13722,0,Wrong Logic,max64
2018-13722,0,Wrong Logic,min64
2018-13722,0,Wrong Logic,max256
2018-13722,0,Wrong Logic,min256
2018-13722,0,Access Control,assert
2018-13722,0,Access Control,addApproval
2018-13722,0,Access Control,subApproval
2018-13722,0,Access Control,setUpgradeMaster
2018-13722,0,Access Control,setUpgradeAgent
2018-13722,0,Access Control,upgrade
2018-13722,0,Access Control,mint
2018-13722,0,Access Control,setMintAgent
