dataname,auditor_idx,vulnerability,function_name
2018-13132,0,Integer Overflow,SPXToken.mint(address,uint256)
2018-13132,0,Integer Overflow,SPXToken.transfer(address,uint256)
2018-13132,0,Integer Overflow,SPXToken.transferFrom(address,address,uint256)
2018-13132,0,Integer Overflow,SPXToken.approve(address,uint256)
2018-13132,0,Integer Overflow,SPXToken.increaseApproval(address,uint256)
2018-13132,0,Integer Overflow,SPXToken.decreaseApproval(address,uint256)
2018-13132,0,Access Control,SPXToken.setMigrationMaster(address)
2018-13132,0,Access Control,SPXToken.setMigrationAgent(address)
2018-13132,0,Access Control,SPXToken.mint(address,uint256)
2018-13132,0,Access Control,SPXToken.unfreeze()
2018-13132,0,Access Control,SPXToken.transfer(address,uint256)
2018-13132,0,Access Control,SPXToken.transferFrom(address,address,uint256)
2018-13132,0,Access Control,SPXToken.approve(address,uint256)
2018-13132,0,Access Control,SPXToken.increaseApproval(address,uint256)
2018-13132,0,Access Control,SPXToken.decreaseApproval(address,uint256)
2018-13132,0,Access Control,SPXToken.convertPresaleTokens(address,uint256,uint256,string)
2018-13132,0,Access Control,SPXToken.creditJackpotTokens(address,uint256,uint256)
2018-13132,0,Access Control,SPXToken.buyTokens(address,uint256,uint256,string)
2018-13132,0,Access Control,SpadeIco.startIco()
2018-13132,0,Access Control,SpadeIco.finishIco(address,address)
2018-13132,0,Access Control,SpadeIco.pauseIco()
2018-13132,0,Access Control,SpadeIco.resumeIco()
2018-13132,0,Access Control,SpadeIco.convertPresaleTokens(address,uint256,uint256,string)
2018-13132,0,Access Control,SpadeIco.creditJackpotTokens(address,uint256,uint256)
2018-13132,0,Access Control,SpadeIco.buyTokens(address,uint256,uint256,string)
