dataname,auditor_idx,vulnerability,function_name
2021-34273,1,The function totalSupply() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,totalSupply
2021-34273,1,The function balanceOf() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,balanceOf
2021-34273,1,The function transfer() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,transfer
2021-34273,1,The function transferFrom() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,transferFrom
2021-34273,1,The function approve() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,approve
2021-34273,1,The function allowance() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,allowance
2021-34273,1,The function distributeToken() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,distributeToken
2021-34273,2,The function balanceOf() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,balanceOf
2021-34273,2,The function approve() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,approve
2021-34273,2,The function allowance() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,allowance
2021-34273,3,The function totalSupply() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,totalSupply
2021-34273,3,The function balanceOf() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,balanceOf
2021-34273,3,The function transfer() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,transfer
2021-34273,3,The function transferFrom() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,transferFrom
2021-34273,3,The function approve() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,approve
2021-34273,3,The function allowance() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,allowance
2021-34273,3,The function distributeToken() is not marked as constant, which means it can be called by anyone and can modify the state of the contract.,distributeToken
