dataname,auditor_idx,vulnerability,function_name
2018-12975,,Potential Unrestricted Access,setOwner
2018-12975,,Improper Input Validation,setSeed
2018-12975,,Arbitrary State Manipulation,setGoldDeposit
2018-12975,,Information Disclosure,ownerOf
2018-12975,,Arbitrary Access,ownerWinSize
2018-12975,,Unauthorized Access,ownerUsr
2018-12975,,Improper State Change,setWinSize
2018-12975,,Data Manipulation,setUsr
2018-12975,,Access Control Bypass,ownerHasAccess
2018-12975,,Resource Exhaustion,ownerAccessCount
2018-12975,,Function Manipulation,setFunction
2018-12975,,Rank Manipulation,ownerRank
