dataname,auditor_idx,vulnerability,function_name
2018-10299,0,Integer Overflow,balanceOf
2018-10299,0,Integer Overflow,transfer
2018-10299,0,Integer Overflow,transferFrom
2018-10299,0,Integer Overflow,approve
2018-10299,0,Integer Overflow,batchTransfer
2018-10299,3,Integer Overflow,transfer
2018-10299,3,Integer Overflow,batchTransfer
2018-10299,3,Access Control,approve
2018-10299,3,Access Control,transferOwnership
2018-10299,4,Integer Overflow,mul
2018-10299,4,Integer Division by Zero,div
2018-10299,4,Integer Underflow,sub
2018-10299,4,Integer Overflow,add
2018-10299,4,Integer Overflow,transfer
2018-10299,2,Integer Overflow,transfer
2018-10299,2,Integer Overflow,transferFrom
2018-10299,2,Integer Overflow,batchTransfer
