dataname,auditor_idx,vulnerability,function_name
2018-12230,0,Integer Overflow,mintToken
2018-12230,1,Integer Overflow,mintToken
2018-12230,2,Integer Overflow,mintToken
2018-12230,3,Integer Overflow,mintToken
2018-12230,4,Integer Overflow,mintToken
2018-12230,5,Integer Overflow,mintToken
2018-12230,6,Integer Overflow,mintToken
2018-12230,7,Integer Overflow,mintToken
2018-12230,8,Integer Overflow,mintToken
2018-12230,9,Integer Overflow,mintToken
2018-12230,10,Integer Overflow,mintToken
2018-12230,11,Integer Overflow,mintToken
2018-12230,12,Integer Overflow,mintToken
2018-12230,13,Integer Overflow,mintToken
2018-12230,14,Integer Overflow,mintToken
2018-12230,15,Integer Overflow,mintToken
2018-12230,16,Integer Overflow,mintToken
2018-12230,17,Integer Overflow,mintToken
2018-12230,18,Integer Overflow,mintToken
2018-12230,19,Integer Overflow,mintToken
2018-12230,20,Integer Overflow,mintToken
2018-12230,21,Integer Overflow,mintToken
2018-12230,22,Integer Overflow,mintToken
2018-12230,23,Integer Overflow,mintToken
2018-12230,24,Integer Overflow,mintToken
2018-12230,25,Integer Overflow,mintToken
2018-12230,26,Integer Overflow,mintToken
2018-12230,27,Integer Overflow,mintToken
2018-12230,28,Integer Overflow,mintToken
2018-12230,29,Integer Overflow,mintToken
2018-12230,30,Integer Overflow,mintToken
2018-12230,31,Integer Overflow,mintToken
2018-12230,32,Integer Overflow,mintToken
2018-12230,33,Integer Overflow,mintToken
2018-12230,34,Integer Overflow,mintToken
2018-12230,35,Integer Overflow,mintToken
2018-12230,36,Integer Overflow,mintToken
2018-12230,37,Integer Overflow,mintToken
