dataname,auditor_idx,vulnerability,function_name
2018-19831,0,Integer Overflow,setParameters
2018-19831,0,Integer Overflow,distr
2018-19831,0,Integer Overflow,getTokens
2018-19831,1,Integer Overflow,output
2018-19831,1,Integer Overflow,transferFrom
2018-19831,1,Integer Overflow,transfer
2018-19831,1,Integer Overflow,balances
2018-19831,1,Integer Overflow,totalSupply
2018-19831,1,Integer Overflow,totalDistributed
2018-19831,1,Integer Overflow,totalRemaining
2018-19831,1,Integer Overflow,value
2018-19831,1,Integer Overflow,minReq
2018-19831,1,Integer Overflow,setParameters
2018-19831,1,Integer Overflow,finishDistribution
2018-19831,1,Integer Overflow,distributeAmounts
2018-19831,1,Integer Overflow,distribute
2018-19831,1,Integer Overflow,getTokens
2018-19831,1,Integer Overflow,withdrawForeignTokens
2018-19831,1,Integer Overflow,setPrices
2018-19831,1,Integer Overflow,buy
2018-19831,1,Integer Overflow,tokens
2018-19831,1,Integer Overflow,mintToken
2018-19831,1,Integer Overflow,setBalances
2018-19831,1,Integer Overflow,setTotalDistributed
2018-19831,1,Integer Overflow,setTotalRemaining
2018-19831,1,Integer Overflow,setValue
2018-19831,1,Integer Overflow,setMinReq
2018-19831,1,Integer Overflow,setOwner
2018-19831,3,Integer Overflow,Mining24
2018-19831,4,Integer Overflow,balanceOf
2018-19831,4,Integer Overflow,approve
