dataname,auditor_idx,vulnerability,function_name
2018-13703,,Integer Overflow,setMyBalance
2018-13703,,Integer Overflow,withdrawForeign
2018-13703,,Integer Overflow,_transfer
2018-13703,,Integer Overflow,transfer
2018-13703,,Integer Overflow,transferFrom
2018-13703,,Integer Overflow,approve
2018-13703,,Integer Overflow,approveAndCall
2018-13703,,Integer Overflow,burn
2018-13703,,Integer Overflow,burnFrom
2018-13703,,Integer Overflow,setOwner
2018-13703,,Integer Overflow,setBkAddress
2018-13703,,Integer Overflow,setBenAddress
2018-13703,,Integer Overflow,setIcoStatus
2018-13703,,Integer Overflow,setEthRate
2018-13703,,Integer Overflow,setTransferStatus
2018-13703,,Integer Overflow,mintToken
