dataname,vulnerability,function_name
2018-13081,Extract the vulnerability name,buy
2018-13081,Extract the function name,buy
2018-13081,Extract the vulnerability name,withdrawToOwner
2018-13081,Extract the function name,withdrawToOwner
2018-13081,Extract the vulnerability name,mintToken
2018-13081,Extract the function name,mintToken
2018-13081,Extract the vulnerability name,transfer
2018-13081,Extract the function name,transfer
2018-13081,Extract the vulnerability name,transferFrom
2018-13081,Extract the function name,transferFrom
