dataname,auditor_idx,vulnerability,function_name
2018-12975,0,Integer Overflow,mint
2018-12975,0,Integer Overflow,addExp
2018-12975,0,Integer Overflow,levelUp
2018-12975,0,Integer Overflow,random
2018-12975,1,Integer Overflow,mint
2018-12975,1,Integer Overflow,addExp
2018-12975,1,Integer Overflow,addDeposit
2018-12975,1,Integer Overflow,levelUp
2018-12975,1,Integer Overflow,transferDeposit
2018-12975,3,Integer Overflow,mint
2018-12975,3,Wrong Logic,defineType
2018-12975,4,Integer Overflow,mint
2018-12975,4,Wrong Logic,defineType
2018-12975,2,Integer Overflow,mint
2018-12975,2,Integer Overflow,levelUp
2018-12975,2,Integer Overflow,addExp
2018-12975,2,Integer Overflow,addDeposit
2018-12975,2,Integer Overflow,transferDeposit
2018-12975,2,Integer Overflow,withdrawDeposit
