dataname,auditor_idx,vulnerability,function_name
2018-10666,0,Integer Overflow,setOwner
2018-10666,0,Integer Overflow,uploadBalances
2018-10666,0,Integer Overflow,transfer
2018-10666,0,Integer Overflow,transferFrom
2018-10666,0,Wrong Logic,precalculate
2018-10666,1,Integer Overflow,mapping (address => uint256) public balanceOf;
2018-10666,2,Integer Overflow,div10
2018-10666,2,Access Control,lockBalances
2018-10666,2,Integer Overflow,precalculate
2018-10666,2,Access Control,setExportFee
2018-10666,2,Integer Overflow,setHoldingPeriod
