dataname,auditor_idx,vulnerability,function_name
2018-13068,0,Integer Overflow,mintToken
2018-13068,0,Access Control,freezeAccount
2018-13068,0,Integer Overflow,burn
2018-13068,0,Integer Overflow,burnFrom
2018-13068,0,Access Control,approve
2018-13068,0,Access Control,approveAndCall
2018-13068,0,Integer Overflow,burn
2018-13068,0,Integer Overflow,burnFrom
2018-13068,0,Integer Overflow,mintToken
2018-13068,0,Access Control,mintToken
2018-13068,0,Access Control,freezeAccount
2018-13068,0,Access Control,freezeAccount
2018-13068,0,Integer Overflow,burn
2018-13068,0,Integer Overflow,burnFrom
2018-13068,0,Integer Overflow,transfer
2018-13068,0,Integer Overflow,transferFrom
