dataname,auditor_idx,vulnerability,function_name
2018-13085,1,Integer Overflow,mintToken
2018-13085,1,Access Control,mintToken
2018-13085,2,Integer Overflow,mintToken
2018-13085,2,Access Control,mintToken
2018-13085,1,Integer Overflow,freeCoin
2018-13085,1,Access Control,freeCoin
2018-13085,2,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,1,Access Control,buy
2018-13085,2,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
2018-13085,1,Integer Overflow,sell
2018-13085,2,Access Control,sell
2018-13085,1,Integer Overflow,freeCoin
2018-13085,2,Access Control,freeCoin
2018-13085,1,Integer Overflow,buy
2018-13085,2,Access Control,buy
