dataname,auditor_idx,vulnerability,function_name
2018-13695,1,The function 'safeMul' is used to multiply two numbers, but it does not handle potential overflow errors.,safeMul
2018-13695,1,The function 'safeDiv' is used to divide two numbers, but it does not handle potential division by zero errors.,safeDiv
2018-13695,1,The function 'safeSub' is used to subtract two numbers, but it does not handle potential underflow errors.,safeSub
2018-13695,1,The function 'safeAdd' is used to add two numbers, but it does not handle potential overflow errors.,safeAdd
2018-13695,1,The function 'max64' is used to find the maximum of two 64-bit unsigned integers, but it does not handle potential overflow errors.,max64
2018-13695,1,The function 'min64' is used to find the minimum of two 64-bit unsigned integers, but it does not handle potential overflow errors.,min64
2018-13695,1,The function 'max256' is used to find the maximum of two 256-bit unsigned integers, but it does not handle potential overflow errors.,max256
2018-13695,1,The function 'min256' is used to find the minimum of two 256-bit unsigned integers, but it does not handle potential overflow errors.,min256
2018-13695,1,The function 'assert' is used to perform assertions, but it does not handle potential revert errors.,assert
2018-13695,1,The function 'transfer' is used to transfer tokens from one address to another, but it does not handle potential overflow errors.,transfer
2018-13695,1,The function 'transferFrom' is used to transfer tokens from one address to another on behalf of another address, but it does not handle potential overflow errors.,transferFrom
2018-13695,1,The function 'approve' is used to grant an allowance to another address, but it does not handle potential overflow errors.,approve
2018-13695,1,The function 'balanceOf' is used to retrieve the balance of a specific address, but it does not handle potential overflow errors.,balanceOf
2018-13695,1,The function 'allowance' is used to retrieve the allowance granted to another address, but it does not handle potential overflow errors.,allowance
2018-13695,1,The function 'mint' is used to mint new tokens, but it does not handle potential overflow errors.,mint
2018-13695,1,The function '()' is used to receive ether and perform some operations, but it does not handle potential overflow errors.,()
2018-13695,1,The function 'Burn' is used to burn tokens, but it does not handle potential overflow errors.,Burn
