dataname,auditor_idx,vulnerability,function_name
2018-14002,Extract the auditor_idx,Lack of input validation,balanceOf
2018-14002,Extract the auditor_idx,Lack of input validation,allowance
2018-14002,Extract the auditor_idx,Insufficient input validation,transfer
2018-14002,Extract the auditor_idx,Insufficient input validation,transferFrom
2018-14002,Extract the auditor_idx,Insufficient input validation,approve
2018-14002,Extract the auditor_idx,Insufficient input validation,distribute
2018-14002,Extract the auditor_idx,Insufficient input validation,_transfer
2018-14002,Extract the auditor_idx,Insufficient input validation,mintToken
2018-14002,Extract the auditor_idx,Insufficient input validation,freezeAccount
2018-14002,Extract the auditor_idx,Insufficient input validation,setPrices
2018-14002,Extract the auditor_idx,Insufficient input validation,buy
2018-14002,Extract the auditor_idx,Insufficient input validation,sell
