dataname,auditor_idx,vulnerability,function_name
2018-11411,1,Integer Overflow,distributeFUD
2018-11411,1,Integer Overflow,transfer
2018-11411,1,Integer Overflow,approve
2018-11411,1,Integer Overflow,withdrawForeignTokens
2018-11411,1,Integer Overflow,getEthBalance
2018-11411,2,Access Control,distributeFUD
2018-11411,2,Access Control,transfer
2018-11411,2,Access Control,approve
2018-11411,2,Access Control,withdrawForeignTokens
2018-11411,2,Access Control,getEthBalance
2018-11411,3,Bad Randomness,distributeFUD
2018-11411,3,Bad Randomness,transfer
2018-11411,3,Bad Randomness,withdrawForeignTokens
2018-11411,3,Bad Randomness,getEthBalance
2018-11411,4,Access Control,withdrawForeignTokens
2018-11411,4,Access Control,getEthBalance
2018-11411,5,Integer Overflow,withdrawForeignTokens
2018-11411,5,Integer Overflow,transfer
2018-11411,5,Integer Overflow,approve
2018-11411,5,Access Control,withdrawForeignTokens
2018-11411,5,Access Control,getEthBalance
2018-11411,6,Integer Overflow,withdrawForeignTokens
2018-11411,6,Integer Overflow,transfer
2018-11411,6,Integer Overflow,approve
2018-11411,6,Access Control,withdrawForeignTokens
2018-11411,6,Access Control,getEthBalance
2018-11411,7,Integer Overflow,withdrawForeignTokens
2018-11411,7,Integer Overflow,transfer
2018-11411,7,Integer Overflow,approve
2018-11411,7,Access Control,withdrawForeignTokens
2018-11411,7,Access Control,getEthBalance
2018-11411,8,Integer Overflow,withdrawForeignTokens
2018-11411,8,Integer Overflow,transfer
2018-11411,8,Integer Overflow,approve
2018-11411,8,Access Control,withdrawForeignTokens
2018-11411,8,Access Control,getEthBalance
2018-11411,9,Integer Overflow,withdrawForeignTokens
2018-11411,9,Integer Overflow,transfer
2018-11411,9,Integer Overflow,approve
2018-11411,9,Access Control,withdrawForeignTokens
2018-11411,9,Access Control,getEthBalance
2018-11411,10,Integer Overflow,withdrawForeignTokens
2018-11411,10,Integer Overflow,transfer
2018-11411,10,Integer Overflow,approve
2018-11411,10,Access Control,withdrawForeignTokens
2018-11411,10,Access Control,getEthBalance
2018-11411,11,Integer Overflow,withdrawForeignTokens
2018-11411,11,Integer Overflow,transfer
2018-11411,11,Integer Overflow,approve
2018-11411,11,Access Control,withdrawForeignTokens
2018-11411,11,Access Control,getEthBalance
2018-11411,12,Access Control,withdrawForeignTokens
2018-11411,12,Access Control,getEthBalance
