dataname,auditor_idx,vulnerability,function_name
2020-35962,1,The function totalSupply does not have any access control, which makes it vulnerable to reentrancy attacks.,totalSupply
2020-35962,1,The function balanceOf does not have any access control, which makes it vulnerable to reentrancy attacks.,balanceOf
2020-35962,1,The function allowance does not have any access control, which makes it vulnerable to reentrancy attacks.,allowance
2020-35962,1,The function transfer does not have any access control, which makes it vulnerable to reentrancy attacks.,transfer
2020-35962,1,The function transferFrom does not have any access control, which makes it vulnerable to reentrancy attacks.,transferFrom
2020-35962,1,The function approve does not have any access control, which makes it vulnerable to reentrancy attacks.,approve
2020-35962,2,The function isContract does not have any access control, which makes it vulnerable to reentrancy attacks.,isContract
2020-35962,2,The function toPayable does not have any access control, which makes it vulnerable to reentrancy attacks.,toPayable
2020-35962,2,The function sendETH does not have any access control, which makes it vulnerable to reentrancy attacks.,sendETH
2020-35962,2,The function sendETHAndVerify does not have any access control, which makes it vulnerable to reentrancy attacks.,sendETHAndVerify
