dataname,auditor_idx,vulnerability,function_name
2019-15078,0,Integer Overflow,distr
2019-15078,0,Integer Overflow,getTokens
2019-15078,0,Integer Overflow,transferFrom
2019-15078,0,Integer Overflow,approve
2019-15078,0,Integer Overflow,getTokenBalance
2019-15078,1,Integer Overflow,distributeToken
2019-15078,2,Integer Overflow,withdraw
2019-15078,2,Integer Overflow,burn
2019-15078,2,Integer Overflow,distr
2019-15078,2,Integer Overflow,transferFrom
2019-15078,2,Integer Overflow,approve
2019-15078,2,Access Control,withdraw
2019-15078,2,Access Control,burn
2019-15078,2,Access Control,distr
2019-15078,2,Access Control,transferFrom
2019-15078,2,Access Control,approve
2019-15078,2,Typos,withdraw
2019-15078,2,Typos,burn
2019-15078,2,Typos,distr
2019-15078,2,Typos,transferFrom
2019-15078,2,Typos,approve
2019-15078,2,Bad Randomness,withdraw
2019-15078,2,Bad Randomness,burn
2019-15078,2,Bad Randomness,distr
2019-15078,2,Bad Randomness,transferFrom
2019-15078,2,Bad Randomness,approve
