
Dataname	inference_time
2018-10666	30.0005197525024414062
2018-10666	50.00035190582275390625
2018-10666	26.00041174888610839844
2018-10666	37.0003159046173095703
2018-10666	40.0002956390380859375
2018-10468	46.94408869743347
2018-10468	28.135651350021362
2018-10468	48.37189054489136
2018-10468	88.72776317596436
2018-10468	59.15264368057251
2018-10376	26.219831466674805
2018-10376	83.83992195129395
2018-10376	41.82458782196045
2018-10376	30.68414616584778
2018-10376	106.25556802749634
2018-10299	49.16280007362366
2018-10299	78.80250477790833
2018-10299	45.133915185928345
2018-10299	18.96455478668213
2018-10299	254.211163520813
2018-11561	18.5176067352294922
2018-11561	20.324249267578125
2018-11561	23.3402233123779297
2018-11561	411.7186369895935
2018-11561	65.08735680580139
