dataname,vulnerability,function_name
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
2018-13074,Integer Overflow,TokenERC20
