dataname,vulnerability,function_name
2018-11411,Extract the vulnerability name,distributeFUD
2018-11411,Extract the function name.,distributeFUD
2018-11411,Extract the vulnerability name,withdrawForeignTokens
2018-11411,Extract the function name.,withdrawForeignTokens
2018-11411,Extract the vulnerability name,balanceOf
2018-11411,Extract the function name.,balanceOf
2018-11411,Extract the vulnerability name,transfer
2018-11411,Extract the function name.,transfer
2018-11411,Extract the vulnerability name,transferFrom
2018-11411,Extract the function name.,transferFrom
