dataname,auditor_idx,vulnerability,function_name
2018-13075,Extract the auditor_idx,Integer Overflow,mintToken
2018-13075,Extract the auditor_idx,Access Control,freezeAccount
2018-13075,Extract the auditor_idx,Integer Overflow,setPrices
2018-13075,Extract the auditor_idx,Integer Overflow,buy
2018-13075,Extract the auditor_idx,Integer Overflow,sell
2018-13075,Extract the auditor_idx,Access Control,setMinBalance
2018-13075,Extract the auditor_idx,Access Control,setTokenName
2018-13075,Extract the auditor_idx,Access Control,setTokenSymbol
2018-13075,Extract the auditor_idx,Integer Overflow,burnFrom
2018-13075,Extract the auditor_idx,Integer Overflow,burn
