dataname,auditor_idx,vulnerability,function_name
2018-18665,0,Integer Overflow,mintToken
2018-18665,1,Integer Overflow,transfer
2018-18665,1,Integer Overflow,transferFrom
2018-18665,1,Wrong Logic,transfer
2018-18665,1,Wrong Logic,transferFrom
2018-18665,1,Wrong Logic,approve
2018-18665,1,Access Control,mintToken
2018-18665,1,Access Control,disableToken
2018-18665,2,Integer Overflow,mintToken
2018-18665,2,Wrong Logic,mintToken
2018-18665,2,Bad Randomness,mintToken
2018-18665,2,Access Control,mintToken
2018-18665,2,Typo Constructor,mintToken
2018-18665,2,Token Devalue,mintToken
