dataname,auditor_idx,vulnerability,function_name
2020-17753,0,Integer Overflow,buyImplementation
2020-17753,0,Integer Overflow,takeEther
2020-17753,0,Integer Overflow,claim
2020-17753,0,Integer Overflow,releaseTokensTo
2020-17753,0,Access Control,buyTokensFor
2020-17753,1,Integer Overflow,buyFromRC
2020-17753,2,Integer Overflow,buyTokens
2020-17753,2,Integer Overflow,buyFromRC
2020-17753,2,Incorrect Ownership Transfer,transferOwnership
2020-17753,2,Incorrect Time Setting,setTime
2020-17753,2,Incorrect Minimum Contribution Setting,changeMinimum
2020-17753,2,Incorrect Advisor Fee Setting,setAdvisorFee
2020-17753,2,Incorrect Rate Contract Setting,setRateContract
2020-17753,2,Incorrect Refund Function,refundEther
2020-17753,2,Incorrect Withdraw Function,withdraw
2020-17753,2,Incorrect Withdraw Tokens Function,withdrawTokens
2020-17753,2,Incorrect Token Contract Setting,setTokenContract
2020-17753,2,Incorrect Wallet Address Setting,setWalletAddress
2020-17753,2,Incorrect Advisor Address Setting,setAdvisorAddress
