dataname,vulnerability,function_name
2018-14003,Ownership Transfer Vulnerability,transferOwnership
2018-14003,Ownership Transfer Vulnerability,transferOwnership
2018-14003,Burn Function Vulnerability,burn
2018-14003,Burn Function Vulnerability,burn
2018-14003,Burn From Function Vulnerability,burnFrom
2018-14003,Burn From Function Vulnerability,burnFrom
2018-14003,Account Freezing Vulnerability,freezeAccount
2018-14003,Account Freezing Vulnerability,freezeAccount
2018-14003,Batch Transfer Vulnerability,batchTransfer
2018-14003,Batch Transfer Vulnerability,batchTransfer
