dataname,vulnerability,function_name,match_file1,match_file2,category
CVE-2018-14001,Integer Overflow,batchTransfer,False,True,medium
CVE-2018-14001,Integer Overflow,batchTransfer,False,True,medium
CVE-2018-14001,Integer Overflow,batchTransfer,False,True,medium
CVE-2018-13075,Integer Overflow,mintToken,False,True,hard
CVE-2018-13088,Integer Overflow,mintToken,False,True,hard
CVE-2018-13088,Integer Overflow,mintToken,False,True,hard
CVE-2018-13088,Integer Overflow,mintToken,False,True,hard
CVE-2018-13088,Integer Overflow,mintToken,False,True,hard
CVE-2018-13088,Integer Overflow,mintToken,False,True,hard
CVE-2018-13533,Integer Overflow,mintToken,False,True,medium
CVE-2018-13533,Integer Overflow,mintToken,False,True,medium
CVE-2018-13533,Integer Overflow,mintToken,False,True,medium
CVE-2018-10376,Integer Overflow,transferProxy,False,True,easy
CVE-2018-13079,Integer Overflow,mintToken,False,True,hard
CVE-2018-13079,Integer Overflow,mintToken,False,True,hard
CVE-2018-13079,Integer Overflow,mintToken,False,True,hard
CVE-2018-13079,Integer Overflow,mintToken,False,True,hard
CVE-2018-13079,Integer Overflow,mintToken,False,True,hard
CVE-2018-14063,Integer Overflow,increaseApproval,False,True,medium
CVE-2018-13087,Integer Overflow,mintToken,False,True,hard
CVE-2018-13087,Integer Overflow,mintToken,False,True,hard
CVE-2018-13087,Integer Overflow,mintToken,False,True,hard
CVE-2018-13087,Integer Overflow,mintToken,False,True,hard
CVE-2018-13087,Integer Overflow,mintToken,False,True,hard
CVE-2018-10706,Integer Overflow,transferMulti,False,True,hard
CVE-2018-13703,Integer Overflow,mintToken,False,True,medium
CVE-2018-13703,Integer Overflow,mintToken,False,True,medium
CVE-2018-13703,Integer Overflow,mintToken,False,True,medium
CVE-2018-13069,Integer Overflow,mintToken,False,True,hard
CVE-2018-13069,Integer Overflow,mintToken,False,True,hard
CVE-2018-13069,Integer Overflow,mintToken,False,True,hard
CVE-2018-13069,Integer Overflow,mintToken,False,True,hard
CVE-2018-13069,Integer Overflow,mintToken,False,True,hard
CVE-2018-13086,Integer Overflow,mintToken,False,True,hard
CVE-2018-13086,Integer Overflow,mintToken,False,True,hard
CVE-2018-13086,Integer Overflow,mintToken,False,True,hard
CVE-2018-13086,Integer Overflow,mintToken,False,True,hard
CVE-2018-13778,Integer Overflow,mintToken,False,True,medium
CVE-2018-13778,Integer Overflow,mintToken,False,True,medium
CVE-2018-13778,Integer Overflow,mintToken,False,True,medium
CVE-2018-13778,Integer Overflow,mintToken,False,True,medium
CVE-2018-13778,Integer Overflow,mintToken,False,True,medium
CVE-2018-13083,Integer Overflow,mintToken,False,True,hard
CVE-2018-13083,Integer Overflow,mintToken,False,True,hard
CVE-2018-13083,Integer Overflow,mintToken,False,True,hard
CVE-2018-13083,Integer Overflow,mintToken,False,True,hard
CVE-2018-13083,Integer Overflow,mintToken,False,True,hard
CVE-2018-13783,Integer Overflow,mintToken,False,True,medium
CVE-2018-14576,Integer Overflow,mintTokens,False,True,easy
CVE-2018-14576,Integer Overflow,mintTokens,False,True,easy
CVE-2018-14576,Integer Overflow,mintTokens,False,True,easy
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,True,hard
