dataname,vulnerability_file1,function_name_file1,match_file1,true_answer_line,auditor_idx_file1,vulnerability_file2,function_name_file2,auditor_idx_file2,match_file2
CVE-2018-14001,Integer Overflow,batchTransfer,False,,0.0,Integer Overflow,batchTransfer,0,True
CVE-2018-14001,Integer Overflow,batchTransfer,False,,0.0,Integer Overflow,batchTransfer,1,True
CVE-2018-14001,Integer Overflow,batchTransfer,False,,0.0,Integer Overflow,batchTransfer,4,True
CVE-2018-12702,Access Control,approveAndCallcode,False,,0.0,Wrong Logic,approveAndCallcode,0,True
CVE-2018-12703,Access Control,approveAndCallcode,False,,0.0,Integer Overflow,approveAndCallcode,0,True
CVE-2018-18425,Token Devalue,doAirdrop,False,,0.0,Integer Overflow,doAirdrop,0,True
CVE-2018-13075,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-10666,Access Control,setOwner,False,,0.0,Integer Overflow,setOwner,0,True
CVE-2018-13088,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13088,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13088,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13088,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13088,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13533,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13533,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13533,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-10376,Integer Overflow,transferProxy,False,,0.0,Integer Overflow,transferProxy,0,True
CVE-2018-13079,Integer Overflow,mintToken,False,,2.0,Integer Overflow,mintToken,2,True
CVE-2018-13079,Integer Overflow,mintToken,False,,2.0,Integer Overflow,mintToken,3,True
CVE-2018-13079,Integer Overflow,mintToken,False,,2.0,Integer Overflow,mintToken,4,True
CVE-2018-13079,Integer Overflow,mintToken,False,,2.0,Integer Overflow,mintToken,0,True
CVE-2018-13079,Integer Overflow,mintToken,False,,2.0,Integer Overflow,mintToken,1,True
CVE-2018-14063,Integer Overflow,increaseApproval,False,,0.0,Integer Overflow,increaseApproval,0,True
CVE-2018-13087,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13087,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13087,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13087,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13087,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-10706,Integer Overflow,transferMulti,False,,0.0,Integer Overflow,transferMulti,4,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Wrong Logic,mintToken,1,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Access Control,mintToken,1,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Access Control,mintToken,4,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Typo Constructor,mintToken,1,True
CVE-2018-13703,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13069,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13069,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13069,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13069,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13069,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13086,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13086,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13086,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13086,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13086,Integer Overflow,mintToken,False,,0.0,Wrong Logic,mintToken,2,True
CVE-2018-13778,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13778,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13778,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13778,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13778,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13083,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,0,True
CVE-2018-13083,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,4,True
CVE-2018-13083,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,1,True
CVE-2018-13083,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,3,True
CVE-2018-13083,Integer Overflow,mintToken,False,,0.0,Integer Overflow,mintToken,2,True
CVE-2018-13783,Integer Overflow,mintToken,False,,1.0,Integer Overflow,mintToken,2,True
CVE-2018-14576,Integer Overflow,mintTokens,False,,0.0,Integer Overflow,mintTokens,3,True
CVE-2018-14576,Integer Overflow,mintTokens,False,,0.0,Integer Overflow,mintTokens,0,True
CVE-2018-14576,Integer Overflow,mintTokens,False,,0.0,Integer Overflow,mintTokens,4,True
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,,0.0,Integer Overflow,transfer_tokens_after_ICO,0,True
