dataname,auditor_idx,vulnerability,function_name
2018-13041,0,Integer Overflow,mint
2018-13041,1,Integer Overflow,mint
2018-13041,2,Integer Overflow,mint
2018-13041,2,Bad Randomness,mint
2018-13041,2,Integer Overflow,transfer
2018-13041,2,Bad Randomness,transfer
2018-13041,2,Integer Overflow,approve
2018-13041,2,Bad Randomness,approve
2018-13041,2,Integer Overflow,add
2018-13041,2,Integer Overflow,sub
2018-13041,2,Integer Overflow,mul
2018-13041,2,Integer Overflow,div
2018-13041,2,Integer Overflow,max64
2018-13041,2,Integer Overflow,min64
2018-13041,2,Integer Overflow,max256
2018-13041,2,Integer Overflow,min256
2018-13041,2,Integer Overflow,assert
2018-13041,2,Integer Overflow,onlyPayloadSize
2018-13041,2,Integer Overflow,transferOwnership
