dataname,auditor_idx,vulnerability,function_name
2018-11446,0,Lack of access control,transferOwnership
2018-11446,0,Lack of access control,makeAdmin
2018-11446,0,Lack of access control,setAdmin
2018-11446,0,Lack of access control,setICO
2018-11446,0,Lack of access control,setUsersCanTrade
2018-11446,0,Lack of access control,setCanTrade
2018-11446,0,Lack of access control,setMinBalance
2018-11446,0,Lack of access control,usersCanUnFreeze
2018-11446,0,Lack of access control,freeze
2018-11446,0,Lack of access control,transferAndFreeze
2018-11446,0,Lack of access control,reward
2018-11446,0,Lack of access control,transferReward
2018-11446,0,Lack of access control,unlockReward
2018-11446,0,Lack of access control,buy
2018-11446,0,Lack of access control,sell
2018-11446,0,Lack of access control,withdraw
