dataname,vulnerability,function_name
2018-13075,Extract the vulnerability name,transferOwnership
2018-13075,Extract the function name,transferOwnership
2018-13075,Extract the vulnerability name,destruct
2018-13075,Extract the function name,destruct
2018-13075,Extract the vulnerability name,burn
2018-13075,Extract the function name,burn
2018-13075,Extract the vulnerability name,burnFrom
2018-13075,Extract the function name,burnFrom
2018-13075,Extract the vulnerability name,setMinBalance
2018-13075,Extract the function name,setMinBalance
