dataname,auditor_idx,vulnerability,function_name
2018-19831,0,Initial Token Allocation,ToOwner
2018-19831,0,Unrestricted Value Setting,Mining24
2018-19831,0,Owner Privilege Escalation,setParameters
2018-19831,0,Lack of Ownership Checks,transferOwnership
2018-19831,0,Unrestricted Whitelist Management,enableWhitelist
2018-19831,0,Unrestricted Whitelist Management,disableWhitelist
2018-19831,0,Unrestricted Distribution Finish,finishDistribution
2018-19831,0,Unrestricted Token Distribution,distr
2018-19831,0,Unrestricted Token Distribution,airdrop
2018-19831,0,Unrestricted Token Distribution,distribution
2018-19831,0,Unrestricted Token Distribution,distributeAmounts
2018-19831,0,Unrestricted Token Distribution,getTokens
2018-19831,0,Public Balance Check,balanceOf
2018-19831,0,Unrestricted Transfer,transfer
2018-19831,0,Unrestricted Transfer,transferFrom
2018-19831,0,Unrestricted Approval,approve
2018-19831,0,Public Allowance Check,allowance
2018-19831,0,Public Token Balance Check,getTokenBalance
2018-19831,0,Unrestricted Withdrawal,withdraw
2018-19831,0,Unrestricted Burning,burn
2018-19831,0,Unrestricted Withdrawal of Foreign Tokens,withdrawForeignTokens
