dataname,auditor_idx,vulnerability,function_name
2021-3006,0,Integer Overflow,claimStakingReward
2021-3006,0,Integer Overflow,fundDAO
2021-3006,0,Integer Overflow,sellTokenForLRC
2021-3006,0,Typo Constructor,constructor
2021-3006,1,Integer Overflow,getProtocolFeeStats
2021-3006,3,Integer Overflow,sellTokenForLRC
2021-3006,4,Integer Overflow,mint
2021-3006,2,Integer Overflow,burn
2021-3006,2,Integer Overflow,burnFrom
2021-3006,2,Integer Overflow,mintToken
2021-3006,2,Integer Overflow,unfreezeOwner
2021-3006,2,Integer Overflow,setParameters
2021-3006,2,Integer Overflow,burnOwner
2021-3006,2,Integer Overflow,airdrop
2021-3006,2,Integer Overflow,unfreeze
2021-3006,2,Integer Overflow,transfer
2021-3006,2,Integer Overflow,transferFrom
2021-3006,2,Integer Overflow,approve
