dataname,auditor_idx,vulnerability,function_name
2018-13127,,Integer Overflow,mint
2018-13127,,Integer Overflow,unfreeze
2018-13127,,Integer Overflow,transfer
2018-13127,,Integer Overflow,transferFrom
2018-13127,,Integer Overflow,setBalance
2018-13127,,Integer Overflow,setAllowance
2018-13127,,Integer Overflow,setTotalSupply
2018-13127,,Integer Overflow,increaseApproval
2018-13127,,Integer Overflow,decreaseApproval
2018-13127,,Integer Overflow,add
2018-13127,,Integer Overflow,sub
2018-13127,,Integer Overflow,mul
2018-13127,,Integer Overflow,div
