dataname,auditor_idx,vulnerability,function_name
2018-10468,0,Access Control,balanceOf
2018-10468,0,Integer Overflow,transfer
2018-10468,0,Integer Overflow,transferFrom
2018-10468,0,Access Control,balances
2018-10468,0,Access Control,totalSupply
2018-10468,0,Typo Constructor,mintToken
2018-10468,0,Denial of Service,PayWinner
2018-10468,0,Denial of Service,claimThrone
2018-10468,0,Denial of Service,enablePurchasing
2018-10468,0,Denial of Service,disablePurchasing
2018-10468,0,Denial of Service,withdrawForeignTokens
2018-10468,0,Access Control,getStats
2018-10468,0,Access Control,name
2018-10468,0,Access Control,symbol
2018-10468,0,Access Control,decimals
2018-10468,0,Access Control,totalContribution
2018-10468,0,Access Control,totalBonusTokensIssued
2018-10468,0,Access Control,purchasingAllowed
2018-10468,0,Access Control,worldOwner
